tract,year1,tract_T,aa,his,nhw,asian,total,position,raceethnicity,loantype,longitude,latitude
11001009504,2011,T11001009504,1,0,1,0,2,4,aa,purchase,-76.99001115252878,38.9351030131672
11001007806,2011,T11001007806,2,0,0,0,2,5,aa,purchase,-76.92923568792997,38.90775088387802
11001007806,2011,T11001007806,2,0,0,0,2,5,aa,purchase,-76.93749201369597,38.90328067558606
11001001600,2011,T11001001600,1,0,2,0,3,28,aa,purchase,-77.03714303617552,38.973632736717875
11001001804,2011,T11001001804,1,0,1,0,2,33,aa,purchase,-77.02926756181733,38.96482834779593
11001001901,2011,T11001001901,1,0,2,0,3,34,aa,purchase,-77.02220998445827,38.96269569099151
11001002001,2011,T11001002001,1,0,1,0,2,36,aa,purchase,-77.04147547087298,38.96130661090842
11001002002,2011,T11001002002,1,0,1,0,2,37,aa,purchase,-77.03308457100412,38.95484911002289
11001002101,2011,T11001002101,2,0,2,0,4,38,aa,purchase,-77.02127748930631,38.95772888362933
11001002101,2011,T11001002101,2,0,2,0,4,38,aa,purchase,-77.02108180947731,38.956266533089874
11001002102,2011,T11001002102,1,1,1,0,3,39,aa,purchase,-77.01195216871763,38.957174500848986
11001002202,2011,T11001002202,1,0,1,0,2,41,aa,purchase,-77.01610608791091,38.94996553694815
11001002400,2011,T11001002400,1,0,3,0,4,44,aa,purchase,-77.01987346978427,38.94036491058353
11001002502,2011,T11001002502,1,0,1,0,2,46,aa,purchase,-77.03445688442163,38.94168680476326
11001003100,2011,T11001003100,1,0,3,0,4,54,aa,purchase,-77.02418430663282,38.931501600204896
11001003200,2011,T11001003200,1,1,2,1,5,55,aa,purchase,-77.02195618219753,38.93016142625513
11001003301,2011,T11001003301,1,0,2,0,3,56,aa,purchase,-77.01114389465066,38.925705826986466
11001004400,2011,T11001004400,1,0,6,0,7,70,aa,purchase,-77.02652493873627,38.91440926138548
11001004801,2011,T11001004801,1,0,2,1,4,73,aa,purchase,-77.02074770449714,38.912047038756505
11001006301,2011,T11001006301,1,1,3,0,5,95,aa,purchase,-77.02101396789149,38.87538469862299
11001007302,2011,T11001007302,1,0,0,0,1,109,aa,purchase,-76.996468223307,38.84334681224396
11001007304,2011,T11001007304,1,0,0,0,1,110,aa,purchase,-76.99208112418746,38.843235386391406
11001007404,2011,T11001007404,1,0,0,0,1,113,aa,purchase,-76.98354941956048,38.847926979595606
11001007407,2011,T11001007407,1,0,0,0,1,115,aa,purchase,-76.97964467063525,38.85495529054876
11001007503,2011,T11001007503,1,0,0,0,1,119,aa,purchase,-76.9914853937668,38.86461905363457
