tract,year1,tract_T,aa,his,nhw,asian,total,position,raceethnicity,loantype,longitude,latitude
11001007504,2011,T11001007504,1,0,0,0,1,120,aa,purchase,-76.9774525525066,38.864302796751865
11001007601,2011,T11001007601,2,0,0,0,2,121,aa,purchase,-76.98624832750684,38.86964204564347
11001007601,2011,T11001007601,2,0,0,0,2,121,aa,purchase,-76.97583475358442,38.870512659695656
11001007603,2011,T11001007603,1,0,0,0,1,122,aa,purchase,-76.96529875420724,38.85589412273334
11001007703,2011,T11001007703,1,0,0,0,1,125,aa,purchase,-76.94041262323398,38.889365185620925
11001007707,2011,T11001007707,1,0,0,0,1,126,aa,purchase,-76.93747509563715,38.876038310367456
11001007709,2011,T11001007709,1,0,0,0,1,128,aa,purchase,-76.96590464174761,38.8741582385904
11001007803,2011,T11001007803,1,0,0,0,1,129,aa,purchase,-76.94685548689,38.897066258612156
11001007804,2011,T11001007804,1,0,0,0,1,130,aa,purchase,-76.93421237473638,38.89530682501653
11001007807,2011,T11001007807,1,0,0,0,1,131,aa,purchase,-76.9158775589427,38.896713353580935
11001007808,2011,T11001007808,2,0,0,0,2,132,aa,purchase,-76.91730043124159,38.89278748528306
11001007808,2011,T11001007808,2,0,0,0,2,132,aa,purchase,-76.91817837721501,38.89137652139578
11001007809,2011,T11001007809,2,0,0,0,2,133,aa,purchase,-76.93529051776977,38.89927034798352
11001007809,2011,T11001007809,2,0,0,0,2,133,aa,purchase,-76.93919183640071,38.90140909020067
11001007901,2011,T11001007901,1,0,2,0,3,135,aa,purchase,-76.97842984902293,38.894651788825776
11001007903,2011,T11001007903,1,0,1,0,2,136,aa,purchase,-76.97352049999009,38.89737489077645
11001009e3,2011,T11001009000,1,0,0,0,1,139,aa,purchase,-76.95663758709523,38.92610263445131
11001009101,2011,T11001009101,2,0,1,0,3,140,aa,purchase,-76.97566148976416,38.919593771367516
11001009101,2011,T11001009101,2,0,1,0,3,140,aa,purchase,-76.96356442919229,38.933788021820625
11001008702,2011,T11001008702,1,0,1,0,2,148,aa,purchase,-77.00311359375709,38.911192693982485
11001008803,2011,T11001008803,1,0,0,0,1,150,aa,purchase,-76.98048597214185,38.915844032004074
11001008804,2011,T11001008804,1,0,1,0,2,151,aa,purchase,-76.9775769789064,38.91122693585228
11001008903,2011,T11001008903,1,0,1,0,2,152,aa,purchase,-76.97456524969552,38.90414870905561
11001008904,2011,T11001008904,1,0,0,0,1,153,aa,purchase,-76.97802718256695,38.900056658049785
11001009801,2011,T11001009801,1,0,0,0,1,155,aa,purchase,-76.99663906630272,38.83397407311372
11001009201,2011,T11001009201,1,0,3,0,4,156,aa,purchase,-77.0006255748137,38.92820779596699
11001009102,2011,T11001009102,1,0,0,0,1,157,aa,purchase,-76.99454438606749,38.918071697494334
11001009203,2011,T11001009203,1,0,1,0,2,159,aa,purchase,-77.00151465241589,38.921401711917866
11001009400,2011,T11001009400,2,0,1,0,3,160,aa,purchase,-76.97931435128561,38.942759677770916
11001009400,2011,T11001009400,2,0,1,0,3,160,aa,purchase,-76.96446702794431,38.93568100577532
11001009503,2011,T11001009503,1,0,1,0,2,164,aa,purchase,-76.98809900597529,38.93979625871579
11001009505,2011,T11001009505,1,0,1,0,2,165,aa,purchase,-77.0045412146873,38.96452483953825
11001009507,2011,T11001009507,1,0,0,0,1,166,aa,purchase,-77.00032343330449,38.95816246097927
11001009508,2011,T11001009508,1,0,0,0,1,167,aa,purchase,-77.00352995148947,38.95272500025491
11001009509,2011,T11001009509,2,0,1,0,3,168,aa,purchase,-76.99852856306504,38.94734675808769
11001009509,2011,T11001009509,2,0,1,0,3,168,aa,purchase,-76.99960615293402,38.946301431807946
11001009601,2011,T11001009601,1,0,0,0,1,169,aa,purchase,-76.94847887630235,38.90983120055978
11001009603,2011,T11001009603,1,0,0,0,1,171,aa,purchase,-76.9398909069563,38.89167130765046
11001009604,2011,T11001009604,1,0,0,0,1,172,aa,purchase,-76.96288145959532,38.891049682930564
11001009700,2011,T11001009700,1,0,0,0,1,173,aa,purchase,-76.99096993258378,38.838235226091534
11001009807,2011,T11001009807,1,0,0,0,1,177,aa,purchase,-77.01481796665738,38.82711559303274
11001009901,2011,T11001009901,1,0,0,0,1,181,aa,purchase,-76.95554503670557,38.87947594157765
11001009902,2011,T11001009902,2,0,0,0,2,182,aa,purchase,-76.94002424963418,38.87519635515293
11001009902,2011,T11001009902,2,0,0,0,2,182,aa,purchase,-76.94266075580082,38.86923654894173
11001009903,2011,T11001009903,1,0,0,0,1,183,aa,purchase,-76.9242389359407,38.88761786603798
11001009904,2011,T11001009904,1,0,0,0,1,184,aa,purchase,-76.93058138368951,38.88449213077474
11001009905,2011,T11001009905,2,0,0,0,2,185,aa,purchase,-76.92191444100905,38.88576025413145
11001009905,2011,T11001009905,2,0,0,0,2,185,aa,purchase,-76.92917979764275,38.88141736740489
11001009906,2011,T11001009906,1,0,0,0,1,186,aa,purchase,-76.93264741952669,38.889071439626534
11001009907,2011,T11001009907,1,0,0,0,1,187,aa,purchase,-76.9354996632248,38.8842817908672
11001005201,2011,T11001005201,0,1,5,1,7,14,asian,purchase,-77.03392747681156,38.913158286967125
11001001100,2011,T11001001100,0,1,5,1,7,21,asian,purchase,-77.07550798666482,38.957883719810184
11001001500,2011,T11001001500,0,0,6,1,7,27,asian,purchase,-77.06242142697458,38.97775783024716
11001003200,2011,T11001003200,1,1,2,1,5,55,asian,purchase,-77.02010611037448,38.93241099399465
11001003600,2011,T11001003600,0,1,3,1,5,60,asian,purchase,-77.02980684888682,38.92593243419997
11001003700,2011,T11001003700,0,0,4,1,5,61,asian,purchase,-77.03246861487715,38.925819926875405
11001004001,2011,T11001004001,0,0,4,1,5,64,asian,purchase,-77.0486156227768,38.920243884921476
11001004801,2011,T11001004801,1,0,2,1,4,73,asian,purchase,-77.01837934031848,38.91117958234117
11001005e3,2011,T11001005000,0,0,6,1,7,77,asian,purchase,-77.03076098833688,38.91060061839841
11001005301,2011,T11001005301,0,0,4,1,5,80,asian,purchase,-77.03940528682723,38.91328291100626
11001005800,2011,T11001005800,0,0,2,1,3,87,asian,purchase,-77.02280469774145,38.898743224037666
11001006001,2011,T11001006001,0,0,4,1,5,89,asian,purchase,-77.01137045804843,38.88144322298356
11001005500,2011,T11001005500,0,0,4,1,5,188,asian,purchase,-77.05083113167625,38.90762703567175
11001000100,2011,T11001000100,0,1,5,0,6,6,his,purchase,-77.06072444152977,38.91672616008893
11001005201,2011,T11001005201,0,1,5,1,7,14,his,purchase,-77.03297212682726,38.91099636483657
11001000801,2011,T11001000801,0,1,5,0,6,15,his,purchase,-77.09067709420232,38.9216709823415
11001001100,2011,T11001001100,0,1,5,1,7,21,his,purchase,-77.07496083437243,38.95289379717716
11001002102,2011,T11001002102,1,1,1,0,3,39,his,purchase,-77.0171184093585,38.957068754228885
11001003200,2011,T11001003200,1,1,2,1,5,55,his,purchase,-77.01901937316717,38.93174895872126
11001003600,2011,T11001003600,0,1,3,1,5,60,his,purchase,-77.02834669730836,38.92672193095881
11001004902,2011,T11001004902,0,1,2,0,3,76,his,purchase,-77.02580072479509,38.903800548093116
11001006301,2011,T11001006301,1,1,3,0,5,95,his,purchase,-77.01607914674787,38.87288472201274
11001008500,2011,T11001008500,0,0,5,0,5,2,nhw,purchase,-77.00160833946414,38.9053606732572
11001008500,2011,T11001008500,0,0,5,0,5,2,nhw,purchase,-77.00148172720128,38.90670852034486
11001008500,2011,T11001008500,0,0,5,0,5,2,nhw,purchase,-76.99570716812289,38.902403240350466
11001008500,2011,T11001008500,0,0,5,0,5,2,nhw,purchase,-77.00105801990041,38.9068793632305
11001008500,2011,T11001008500,0,0,5,0,5,2,nhw,purchase,-77.00205319442723,38.90162000986984
11001000702,2011,T11001000702,0,0,1,0,1,3,nhw,purchase,-77.07570039262924,38.92265451722531
11001009504,2011,T11001009504,1,0,1,0,2,4,nhw,purchase,-76.98985793397942,38.93460417415607
11001000100,2011,T11001000100,0,1,5,0,6,6,nhw,purchase,-77.05561816858433,38.91067857996315
11001000100,2011,T11001000100,0,1,5,0,6,6,nhw,purchase,-77.05957700254855,38.9046962162497
11001000100,2011,T11001000100,0,1,5,0,6,6,nhw,purchase,-77.05899230142214,38.89420364462917
11001000100,2011,T11001000100,0,1,5,0,6,6,nhw,purchase,-77.05411473777808,38.91203916780576
11001000100,2011,T11001000100,0,1,5,0,6,6,nhw,purchase,-77.06227401851879,38.89499844735
11001000202,2011,T11001000202,0,0,3,0,3,8,nhw,purchase,-77.06868142558547,38.908208637152114
11001000202,2011,T11001000202,0,0,3,0,3,8,nhw,purchase,-77.06326904635273,38.90245091902832
11001000202,2011,T11001000202,0,0,3,0,3,8,nhw,purchase,-77.06388922597029,38.908202214334125
11001000501,2011,T11001000501,0,0,1,0,1,10,nhw,purchase,-77.04516123346896,38.927528306232055
11001000502,2011,T11001000502,0,0,2,0,2,11,nhw,purchase,-77.06362296987479,38.929040115125304
11001000502,2011,T11001000502,0,0,2,0,2,11,nhw,purchase,-77.0571779712265,38.93127433262338
11001000600,2011,T11001000600,0,0,4,0,4,12,nhw,purchase,-77.06667610629762,38.93902595007165
11001000600,2011,T11001000600,0,0,4,0,4,12,nhw,purchase,-77.06571447109671,38.936424867374555
11001000600,2011,T11001000600,0,0,4,0,4,12,nhw,purchase,-77.07154173502366,38.93389362202584
11001000600,2011,T11001000600,0,0,4,0,4,12,nhw,purchase,-77.06489003417646,38.93140819590183
11001000701,2011,T11001000701,0,0,3,0,3,13,nhw,purchase,-77.07963373044596,38.931384726145524
11001000701,2011,T11001000701,0,0,3,0,3,13,nhw,purchase,-77.07648016162858,38.930575528977855
11001000701,2011,T11001000701,0,0,3,0,3,13,nhw,purchase,-77.07820226604406,38.92712072570462
11001005201,2011,T11001005201,0,1,5,1,7,14,nhw,purchase,-77.03461075292584,38.9099482599621
11001005201,2011,T11001005201,0,1,5,1,7,14,nhw,purchase,-77.03299042284252,38.909591225000554
11001005201,2011,T11001005201,0,1,5,1,7,14,nhw,purchase,-77.03195521839498,38.908068435648495
11001005201,2011,T11001005201,0,1,5,1,7,14,nhw,purchase,-77.03257579298025,38.91275596421285
11001005201,2011,T11001005201,0,1,5,1,7,14,nhw,purchase,-77.03459399641403,38.90855975354072
11001000801,2011,T11001000801,0,1,5,0,6,15,nhw,purchase,-77.09390140044495,38.92629846902009
11001000801,2011,T11001000801,0,1,5,0,6,15,nhw,purchase,-77.09318633177197,38.92129326097702
11001000801,2011,T11001000801,0,1,5,0,6,15,nhw,purchase,-77.09526050857316,38.916996222393855
11001000801,2011,T11001000801,0,1,5,0,6,15,nhw,purchase,-77.08803255733105,38.92107764401174
11001000801,2011,T11001000801,0,1,5,0,6,15,nhw,purchase,-77.08650580959828,38.9309145756854
11001000802,2011,T11001000802,0,0,2,0,2,16,nhw,purchase,-77.09380856500292,38.91476335866849
11001000802,2011,T11001000802,0,0,2,0,2,16,nhw,purchase,-77.09140226293253,38.90750162728001
11001000901,2011,T11001000901,0,0,4,0,4,17,nhw,purchase,-77.0914621029238,38.94175781218917
11001000901,2011,T11001000901,0,0,4,0,4,17,nhw,purchase,-77.08969666228013,38.938657092798856
11001000901,2011,T11001000901,0,0,4,0,4,17,nhw,purchase,-77.10308915247894,38.94360826103946
11001000901,2011,T11001000901,0,0,4,0,4,17,nhw,purchase,-77.10560320057293,38.932936125421804
11001000902,2011,T11001000902,0,0,2,0,2,18,nhw,purchase,-77.1019159265528,38.92451360400572
11001000902,2011,T11001000902,0,0,2,0,2,18,nhw,purchase,-77.10960108136966,38.930410282405035
11001001001,2011,T11001001001,0,0,5,0,5,19,nhw,purchase,-77.08842104847984,38.948872917924355
11001001001,2011,T11001001001,0,0,5,0,5,19,nhw,purchase,-77.08287826431474,38.94592873872352
11001001001,2011,T11001001001,0,0,5,0,5,19,nhw,purchase,-77.08978715010947,38.953508666363405
11001001001,2011,T11001001001,0,0,5,0,5,19,nhw,purchase,-77.08954863242332,38.9483678260711
11001001001,2011,T11001001001,0,0,5,0,5,19,nhw,purchase,-77.08190004633481,38.943148732362566
11001001002,2011,T11001001002,0,0,1,0,1,20,nhw,purchase,-77.07656770517488,38.93877972992438
11001001100,2011,T11001001100,0,1,5,1,7,21,nhw,purchase,-77.07750272152305,38.96467124051088
11001001100,2011,T11001001100,0,1,5,1,7,21,nhw,purchase,-77.07797847079355,38.958218222969116
11001001100,2011,T11001001100,0,1,5,1,7,21,nhw,purchase,-77.07967184663201,38.9628310806022
11001001100,2011,T11001001100,0,1,5,1,7,21,nhw,purchase,-77.07275397735535,38.95387436709152
11001001100,2011,T11001001100,0,1,5,1,7,21,nhw,purchase,-77.0821983540665,38.96149681962253
11001001200,2011,T11001001200,0,0,3,0,3,22,nhw,purchase,-77.07732454574104,38.945623234582555
11001001200,2011,T11001001200,0,0,3,0,3,22,nhw,purchase,-77.07177368525166,38.94461492741022
11001001200,2011,T11001001200,0,0,3,0,3,22,nhw,purchase,-77.0739650555279,38.950622683896825
11001001301,2011,T11001001301,0,0,2,0,2,23,nhw,purchase,-77.05476228941426,38.95892679227564
11001001301,2011,T11001001301,0,0,2,0,2,23,nhw,purchase,-77.04702411401053,38.95873046177758
11001001302,2011,T11001001302,0,0,5,0,5,24,nhw,purchase,-77.05391865700754,38.94252877251249
11001001302,2011,T11001001302,0,0,5,0,5,24,nhw,purchase,-77.05739539298925,38.935615422131896
11001001302,2011,T11001001302,0,0,5,0,5,24,nhw,purchase,-77.05888527462247,38.94465931203218
11001001302,2011,T11001001302,0,0,5,0,5,24,nhw,purchase,-77.05153410611517,38.94010849973624
11001001302,2011,T11001001302,0,0,5,0,5,24,nhw,purchase,-77.05876639202775,38.939842831063004
11001001401,2011,T11001001401,0,0,1,0,1,25,nhw,purchase,-77.07039333189422,38.968230575672465
11001001402,2011,T11001001402,0,0,2,0,2,26,nhw,purchase,-77.05993981543733,38.96143358006115
11001001402,2011,T11001001402,0,0,2,0,2,26,nhw,purchase,-77.06238717987634,38.96182786393513
11001001500,2011,T11001001500,0,0,6,1,7,27,nhw,purchase,-77.0569271262024,38.972442951355376
11001001500,2011,T11001001500,0,0,6,1,7,27,nhw,purchase,-77.04551140533322,38.961178618802485
11001001500,2011,T11001001500,0,0,6,1,7,27,nhw,purchase,-77.0502065472107,38.98125942867089
11001001500,2011,T11001001500,0,0,6,1,7,27,nhw,purchase,-77.04525721343455,38.97695887592719
11001001500,2011,T11001001500,0,0,6,1,7,27,nhw,purchase,-77.06873039712342,38.97354234491375
11001001500,2011,T11001001500,0,0,6,1,7,27,nhw,purchase,-77.05180889186713,38.973619914898094
11001001600,2011,T11001001600,1,0,2,0,3,28,nhw,purchase,-77.04241373845441,38.986365881281614
11001001600,2011,T11001001600,1,0,2,0,3,28,nhw,purchase,-77.04310940948767,38.99359423922279
11001001701,2011,T11001001701,0,0,1,0,1,29,nhw,purchase,-77.02634253043286,38.97222908743017
11001001702,2011,T11001001702,0,0,2,0,2,30,nhw,purchase,-77.01327491433412,38.96897622161014
11001001702,2011,T11001001702,0,0,2,0,2,30,nhw,purchase,-77.02007935547198,38.971991438232266
11001001804,2011,T11001001804,1,0,1,0,2,33,nhw,purchase,-77.03290720157531,38.97061279403007
11001001901,2011,T11001001901,1,0,2,0,3,34,nhw,purchase,-77.0239506239898,38.9631669883368
11001001901,2011,T11001001901,1,0,2,0,3,34,nhw,purchase,-77.02705191596259,38.965914137141866
11001001902,2011,T11001001902,0,0,1,0,1,35,nhw,purchase,-77.01792281662794,38.96570535461674
11001002001,2011,T11001002001,1,0,1,0,2,36,nhw,purchase,-77.03836518824076,38.9567370304951
11001002002,2011,T11001002002,1,0,1,0,2,37,nhw,purchase,-77.028068924062,38.953135683674816
11001002101,2011,T11001002101,2,0,2,0,4,38,nhw,purchase,-77.02400045235912,38.95240708552227
11001002101,2011,T11001002101,2,0,2,0,4,38,nhw,purchase,-77.02103718718062,38.953378230034765
11001002102,2011,T11001002102,1,1,1,0,3,39,nhw,purchase,-77.0112484056085,38.957637765646005
11001002201,2011,T11001002201,0,0,3,0,3,40,nhw,purchase,-77.0210792617807,38.94751781126808
11001002201,2011,T11001002201,0,0,3,0,3,40,nhw,purchase,-77.02277816144198,38.949079994241735
11001002201,2011,T11001002201,0,0,3,0,3,40,nhw,purchase,-77.02174900406115,38.946776247091115
11001002202,2011,T11001002202,1,0,1,0,2,41,nhw,purchase,-77.01877385650954,38.94687815127606
11001002301,2011,T11001002301,0,0,2,0,2,42,nhw,purchase,-77.01660634690363,38.94173840722922
11001002301,2011,T11001002301,0,0,2,0,2,42,nhw,purchase,-77.01831349096904,38.93885397210453
11001002400,2011,T11001002400,1,0,3,0,4,44,nhw,purchase,-77.02403439011984,38.945792475140784
11001002400,2011,T11001002400,1,0,3,0,4,44,nhw,purchase,-77.02365002797919,38.939767294938655
11001002400,2011,T11001002400,1,0,3,0,4,44,nhw,purchase,-77.02185165826835,38.941471590151465
11001002501,2011,T11001002501,0,0,1,0,1,45,nhw,purchase,-77.03529726775749,38.94597649526403
11001002502,2011,T11001002502,1,0,1,0,2,46,nhw,purchase,-77.02618592330428,38.939233116149275
11001002600,2011,T11001002600,0,0,2,0,2,47,nhw,purchase,-77.04987703047638,38.93902514580023
11001002600,2011,T11001002600,0,0,2,0,2,47,nhw,purchase,-77.03853966153112,38.93728451884089
11001002701,2011,T11001002701,0,0,2,0,2,48,nhw,purchase,-77.04695207476648,38.93512256767861
11001002701,2011,T11001002701,0,0,2,0,2,48,nhw,purchase,-77.04278001408143,38.93495567559919
11001002702,2011,T11001002702,0,0,4,0,4,49,nhw,purchase,-77.04139622994619,38.92767073951914
11001002702,2011,T11001002702,0,0,4,0,4,49,nhw,purchase,-77.04248328905763,38.93081491599637
11001002702,2011,T11001002702,0,0,4,0,4,49,nhw,purchase,-77.0454651047418,38.92951574785592
11001002702,2011,T11001002702,0,0,4,0,4,49,nhw,purchase,-77.04405313796849,38.93135827464627
11001002801,2011,T11001002801,0,0,1,0,1,50,nhw,purchase,-77.03514743389877,38.9362256235854
11001002802,2011,T11001002802,0,0,1,0,1,51,nhw,purchase,-77.03500590039901,38.93176480989955
11001002900,2011,T11001002900,0,0,2,0,2,52,nhw,purchase,-77.02967325243154,38.93361709124197
11001002900,2011,T11001002900,0,0,2,0,2,52,nhw,purchase,-77.03057947731166,38.93428510626588
11001003e3,2011,T11001003000,0,0,1,0,1,53,nhw,purchase,-77.02720256502955,38.92723027786996
11001003100,2011,T11001003100,1,0,3,0,4,54,nhw,purchase,-77.02470107410689,38.930779012367026
11001003100,2011,T11001003100,1,0,3,0,4,54,nhw,purchase,-77.0236957557267,38.927387121173375
11001003100,2011,T11001003100,1,0,3,0,4,54,nhw,purchase,-77.02398099308368,38.93031520279791
11001003200,2011,T11001003200,1,1,2,1,5,55,nhw,purchase,-77.02009509137417,38.93088867895881
11001003200,2011,T11001003200,1,1,2,1,5,55,nhw,purchase,-77.0195741584603,38.92807575166702
11001003301,2011,T11001003301,1,0,2,0,3,56,nhw,purchase,-77.01207308383107,38.92448559295526
11001003301,2011,T11001003301,1,0,2,0,3,56,nhw,purchase,-77.0146124007206,38.91924444611404
11001003302,2011,T11001003302,0,0,1,0,1,57,nhw,purchase,-77.01400464951043,38.913388181579975
11001003400,2011,T11001003400,0,0,2,0,2,58,nhw,purchase,-77.01444765351809,38.92095259426161
11001003400,2011,T11001003400,0,0,2,0,2,58,nhw,purchase,-77.01445132073624,38.921435639004606
11001003500,2011,T11001003500,0,0,1,0,1,59,nhw,purchase,-77.02507014297464,38.922443446043445
11001003600,2011,T11001003600,0,1,3,1,5,60,nhw,purchase,-77.03110438650299,38.92432890067135
11001003600,2011,T11001003600,0,1,3,1,5,60,nhw,purchase,-77.02788078653258,38.9220085445108
11001003600,2011,T11001003600,0,1,3,1,5,60,nhw,purchase,-77.02853110898337,38.92405736328765
11001003700,2011,T11001003700,0,0,4,1,5,61,nhw,purchase,-77.03568680938814,38.92500497342702
11001003700,2011,T11001003700,0,0,4,1,5,61,nhw,purchase,-77.03401511466366,38.92423338878804
11001003700,2011,T11001003700,0,0,4,1,5,61,nhw,purchase,-77.03434895793178,38.91970920660818
11001003700,2011,T11001003700,0,0,4,1,5,61,nhw,purchase,-77.0346442621046,38.923362547365606
11001003800,2011,T11001003800,0,0,3,0,3,62,nhw,purchase,-77.04130800122431,38.92242287502079
11001003800,2011,T11001003800,0,0,3,0,3,62,nhw,purchase,-77.04149444203267,38.91763306759102
11001003800,2011,T11001003800,0,0,3,0,3,62,nhw,purchase,-77.03659724635273,38.92514301987023
11001003900,2011,T11001003900,0,0,3,0,3,63,nhw,purchase,-77.04840295768857,38.925503123404184
11001003900,2011,T11001003900,0,0,3,0,3,63,nhw,purchase,-77.04117454566624,38.9253074924956
11001003900,2011,T11001003900,0,0,3,0,3,63,nhw,purchase,-77.04367859796858,38.9249959530897
11001004001,2011,T11001004001,0,0,4,1,5,64,nhw,purchase,-77.04632781709108,38.91785515110712
11001004001,2011,T11001004001,0,0,4,1,5,64,nhw,purchase,-77.04948463185956,38.920837691715775
11001004001,2011,T11001004001,0,0,4,1,5,64,nhw,purchase,-77.04726642235397,38.91872555676681
11001004001,2011,T11001004001,0,0,4,1,5,64,nhw,purchase,-77.04723698767009,38.921103227522686
11001004002,2011,T11001004002,0,0,3,0,3,65,nhw,purchase,-77.04309193104679,38.92174947696843
11001004002,2011,T11001004002,0,0,3,0,3,65,nhw,purchase,-77.04463646952097,38.91751119913187
11001004002,2011,T11001004002,0,0,3,0,3,65,nhw,purchase,-77.04324067062198,38.91744518257387
11001004100,2011,T11001004100,0,0,1,0,1,66,nhw,purchase,-77.0517600995291,38.91267006533797
11001004201,2011,T11001004201,0,0,3,0,3,67,nhw,purchase,-77.03903488964232,38.91815014031914
11001004201,2011,T11001004201,0,0,3,0,3,67,nhw,purchase,-77.04063944669777,38.915949857470785
11001004201,2011,T11001004201,0,0,3,0,3,67,nhw,purchase,-77.03756581456305,38.91557195460514
11001004202,2011,T11001004202,0,0,2,0,2,68,nhw,purchase,-77.04447700631871,38.91390342675349
11001004202,2011,T11001004202,0,0,2,0,2,68,nhw,purchase,-77.04422515325929,38.91199765592832
11001004300,2011,T11001004300,0,0,2,0,2,69,nhw,purchase,-77.03427279921189,38.91927485601411
11001004300,2011,T11001004300,0,0,2,0,2,69,nhw,purchase,-77.0340272393353,38.91802794775768
11001004400,2011,T11001004400,1,0,6,0,7,70,nhw,purchase,-77.03125547036855,38.91916656975785
11001004400,2011,T11001004400,1,0,6,0,7,70,nhw,purchase,-77.03079182508522,38.91889270129037
11001004400,2011,T11001004400,1,0,6,0,7,70,nhw,purchase,-77.0292050998562,38.91838059074458
11001004400,2011,T11001004400,1,0,6,0,7,70,nhw,purchase,-77.02900805640695,38.91492497905686
11001004400,2011,T11001004400,1,0,6,0,7,70,nhw,purchase,-77.02951888876864,38.91625140484227
11001004400,2011,T11001004400,1,0,6,0,7,70,nhw,purchase,-77.03103865364147,38.91871211646333
11001004600,2011,T11001004600,0,0,2,0,2,71,nhw,purchase,-77.01375861624976,38.91220248204231
11001004600,2011,T11001004600,0,0,2,0,2,71,nhw,purchase,-77.01292565329928,38.908003506753204
11001004700,2011,T11001004700,0,0,2,0,2,72,nhw,purchase,-77.01755962427048,38.900845983248146
11001004700,2011,T11001004700,0,0,2,0,2,72,nhw,purchase,-77.01845624295977,38.90293339605624
11001004801,2011,T11001004801,1,0,2,1,4,73,nhw,purchase,-77.01708586944896,38.90901865643185
11001004801,2011,T11001004801,1,0,2,1,4,73,nhw,purchase,-77.01942556593272,38.9124678483711
11001004802,2011,T11001004802,0,0,2,0,2,74,nhw,purchase,-77.01992231773596,38.903780558064994
11001004802,2011,T11001004802,0,0,2,0,2,74,nhw,purchase,-77.0194605852352,38.90613875583443
11001004901,2011,T11001004901,0,0,1,0,1,75,nhw,purchase,-77.02437583329453,38.90946089550553
11001004902,2011,T11001004902,0,1,2,0,3,76,nhw,purchase,-77.02694584911137,38.907366789545165
11001004902,2011,T11001004902,0,1,2,0,3,76,nhw,purchase,-77.02603072172651,38.90706574272957
11001005e3,2011,T11001005000,0,0,6,1,7,77,nhw,purchase,-77.03069057955052,38.90910183559763
11001005e3,2011,T11001005000,0,0,6,1,7,77,nhw,purchase,-77.03168745273585,38.908109011564015
11001005e3,2011,T11001005000,0,0,6,1,7,77,nhw,purchase,-77.03067825433354,38.9138808274489
11001005e3,2011,T11001005000,0,0,6,1,7,77,nhw,purchase,-77.02897463312074,38.90949197521034
11001005e3,2011,T11001005000,0,0,6,1,7,77,nhw,purchase,-77.03117963994241,38.911382540524016
11001005e3,2011,T11001005000,0,0,6,1,7,77,nhw,purchase,-77.0278842712143,38.91113352374265
11001005100,2011,T11001005100,0,0,2,0,2,78,nhw,purchase,-77.03098629824217,38.901656248859425
11001005100,2011,T11001005100,0,0,2,0,2,78,nhw,purchase,-77.03286579835172,38.90111968284409
11001005301,2011,T11001005301,0,0,4,1,5,80,nhw,purchase,-77.03836444401189,38.90905908108942
11001005301,2011,T11001005301,0,0,4,1,5,80,nhw,purchase,-77.03756239985127,38.90898014777725
